city,country,forecast_dt,dt_txt,temperature_c,humidity_percent,condition,wind_speed_m_s,date
Munich,DE,2026-06-23 15:00:00,2026-06-23 15:00:00,32.22,40,Clouds,3.47,2026-06-23
Munich,DE,2026-06-23 18:00:00,2026-06-23 18:00:00,31.35,49,Clouds,2.08,2026-06-23
Munich,DE,2026-06-23 21:00:00,2026-06-23 21:00:00,26.25,68,Clouds,1.72,2026-06-23
Munich,DE,2026-06-24 00:00:00,2026-06-24 00:00:00,20.47,81,Clouds,1.38,2026-06-24
Munich,DE,2026-06-24 03:00:00,2026-06-24 03:00:00,18.26,85,Clear,1.05,2026-06-24
Munich,DE,2026-06-24 06:00:00,2026-06-24 06:00:00,22.99,71,Clear,0.85,2026-06-24
Munich,DE,2026-06-24 09:00:00,2026-06-24 09:00:00,28.4,54,Clear,2.38,2026-06-24
Munich,DE,2026-06-24 12:00:00,2026-06-24 12:00:00,32.29,45,Clear,3.35,2026-06-24
Munich,DE,2026-06-24 15:00:00,2026-06-24 15:00:00,32.7,43,Clear,2.96,2026-06-24
Munich,DE,2026-06-24 18:00:00,2026-06-24 18:00:00,30.77,65,Clouds,2.4,2026-06-24
Munich,DE,2026-06-24 21:00:00,2026-06-24 21:00:00,24.26,79,Clouds,1.87,2026-06-24
Munich,DE,2026-06-25 00:00:00,2026-06-25 00:00:00,21.12,80,Clouds,1.85,2026-06-25
Munich,DE,2026-06-25 03:00:00,2026-06-25 03:00:00,18.49,86,Clouds,1.51,2026-06-25
Munich,DE,2026-06-25 06:00:00,2026-06-25 06:00:00,23.61,71,Clouds,2.25,2026-06-25
Munich,DE,2026-06-25 09:00:00,2026-06-25 09:00:00,27.67,50,Clouds,4.01,2026-06-25
Munich,DE,2026-06-25 12:00:00,2026-06-25 12:00:00,30.09,40,Clouds,4.65,2026-06-25
Munich,DE,2026-06-25 15:00:00,2026-06-25 15:00:00,30.04,38,Clouds,4.34,2026-06-25
Munich,DE,2026-06-25 18:00:00,2026-06-25 18:00:00,25.53,59,Clouds,2.59,2026-06-25
Munich,DE,2026-06-25 21:00:00,2026-06-25 21:00:00,20.97,68,Clear,2.47,2026-06-25
Munich,DE,2026-06-26 00:00:00,2026-06-26 00:00:00,18.78,78,Clear,2.28,2026-06-26
Munich,DE,2026-06-26 03:00:00,2026-06-26 03:00:00,16.99,83,Clear,1.19,2026-06-26
Munich,DE,2026-06-26 06:00:00,2026-06-26 06:00:00,21.58,67,Clear,0.94,2026-06-26
Munich,DE,2026-06-26 09:00:00,2026-06-26 09:00:00,27.35,50,Clear,2.88,2026-06-26
Munich,DE,2026-06-26 12:00:00,2026-06-26 12:00:00,30.63,42,Clear,3.63,2026-06-26
Munich,DE,2026-06-26 15:00:00,2026-06-26 15:00:00,30.75,43,Clouds,3.88,2026-06-26
Munich,DE,2026-06-26 18:00:00,2026-06-26 18:00:00,26.71,60,Clouds,2.3,2026-06-26
Munich,DE,2026-06-26 21:00:00,2026-06-26 21:00:00,21.47,74,Clouds,1.59,2026-06-26
Munich,DE,2026-06-27 00:00:00,2026-06-27 00:00:00,19.75,82,Clouds,1.43,2026-06-27
